Card,Deck,Review,Replace,Notes
Ziatora's Proving Ground,Vaevictis's Slot Machines,,,
Bountiful Promenade,"Tuvasa, Prequel to Threevasa",,temple of enlightenment,
Composer of Spring,"Tuvasa, Prequel to Threevasa",,,
Dress Down,"Tuvasa, Prequel to Threevasa",,,
Femeref Enchantress,"Tuvasa, Prequel to Threevasa",,,
Gift of Immortality,"Tuvasa, Prequel to Threevasa",,,
Hall of Heliod's Generosity,"Tuvasa, Prequel to Threevasa",,,
Parallax Wave,"Tuvasa, Prequel to Threevasa",,,too expensive
Root Maze,"Tuvasa, Prequel to Threevasa",,,
Soul Barrier,"Tuvasa, Prequel to Threevasa",,,
Spara's Headquarters,"Tuvasa, Prequel to Threevasa",,temple of plenty,
Ancient Brass Dragon,"Vohar, Terrible Lifeguard",,,
Ancient Silver Dragon,"Vohar, Terrible Lifeguard",,,
Cauldron's Gift,"Vohar, Terrible Lifeguard",,,
Darkslick Shores,"Vohar, Terrible Lifeguard",,,
Defossilize,"Vohar, Terrible Lifeguard",,,
Gloomlake Verge,"Vohar, Terrible Lifeguard",,,
Live or Die,"Vohar, Terrible Lifeguard",,,
Morphic Pool,"Vohar, Terrible Lifeguard",,,
Necromancy,"Vohar, Terrible Lifeguard",,,
Perplex,"Vohar, Terrible Lifeguard",,,
"Razaketh, the Foulblooded","Vohar, Terrible Lifeguard",,,
Reaper from the Abyss,"Vohar, Terrible Lifeguard",,,
Rescue from the Underworld,"Vohar, Terrible Lifeguard",,,
Singularity Rupture,"Vohar, Terrible Lifeguard",,,
Undercity Sewers,"Vohar, Terrible Lifeguard",,,
"Valgavoth, Terror Eater","Vohar, Terrible Lifeguard",,,
Whispering Madness,"Vohar, Terrible Lifeguard",,,
Bow of Nylea,A Refined Grizzly of Noble Heritage,,,
Feral Encounter,A Refined Grizzly of Noble Heritage,,,
Scythecat Cub,A Refined Grizzly of Noble Heritage,,,
