Set Code,Number,Finish,Count,Location,Order/Add Date,Price Per Card,Order Note,Name
CMR,128,N,4,Box,44646,,CMR 1,Fleshbag Marauder
CMR,180,N,2,Box,44646,,CMR 1,Frenzied Saddlebrute
CMR,228,N,1,Box,44646,,CMR 1,Fyndhorn Elves
CMR,279,N,1,Box,44646,,CMR 1,Hans Eriksson
CMR,184,N,2,Box,44646,,CMR 1,Humble Defector
CMR,232,N,2,Box,44646,,CMR 1,Hunter's Insight
CMR,235,N,1,Box,44646,,CMR 1,Imperious Perfect
CMR,238,N,1,Box,44646,,CMR 1,Kamahl's Will
CMR,188,N,2,Box,44646,,CMR 1,"Kediss, Emberclaw Familiar"
CMR,242,N,1,Box,44646,,CMR 1,Magus of the Order
CMR,324,N,1,Box,44646,,CMR 1,Mask of Memory
CMR,325,N,1,Box,44646,,CMR 1,Meteor Golem
CMR,135,N,1,Box,44646,,CMR 1,"Nadier, Agent of the Duskenel"
CMR,34,N,1,Box,44646,,CMR 1,Open the Armory
CMR,247,N,1,Box,44646,,CMR 1,Ordeal of Nylea
CMR,84,N,2,Box,44646,,CMR 1,Preordain
CMR,145,N,1,Box,44646,,CMR 1,Profane Transfusion
CMR,248,N,1,Box,44646,,CMR 1,Reclamation Sage
CMR,197,N,2,Box,44646,,CMR 1,"Rograkh, Son of Rohgahh"
CMR,336,N,1,Box,44646,,CMR 1,Sandstone Oracle
CMR,254,N,1,Box,44646,,CMR 1,Sifter Wurm
CMR,47,N,1,Box,44646,,CMR 1,Slash the Ranks
CMR,152,N,1,Box,44646,,CMR 1,Szat's Will
CMR,103,N,2,Box,44646,,CMR 1,Thirst for Knowledge
CMR,52,N,1,Box,44646,,CMR 1,Triumphant Reckoning
CMR,157,N,2,Box,44646,,CMR 1,Victimize
CMR,158,N,1,Box,44561,0.39,CK,Viscera Seer
CMR,158,N,3,Box,44646,,CMR 1,Viscera Seer
BNG,61,N,1,Box,44505,,Packs 1,Bile Blight
RNA,158,N,1,Box,44505,,Packs 1,Biomancer's Familiar
RNA,224,N,1,Box,44505,,Packs 1,Consecrate // Consume
SOI,202,N,1,Box,44505,,Packs 1,Deathcap Cultivator
BFZ,22,N,1,Box,44505,,Packs 1,Emeria Shepherd
RNA,124,N,1,Box,44505,,Packs 1,End-Raze Forerunners
RNA,106,N,1,Box,44505,,Packs 1,Immolation Shaman
IKO,24,N,1,Box,44505,,Packs 1,Mythos of Snapdax
IKO,170,N,1,Box,44505,,Packs 1,Ram Through
IKO,211,N,1,Box,44505,,Packs 1,Sprite Dragon
RNA,210,N,1,Box,44505,,Packs 1,Sunder Shaman
BFZ,192,N,1,Box,44505,,Packs 1,Sylvan Scrying
RNA,146,N,1,Box,44505,,Packs 1,Titanic Brawl
SOI,236,N,2,Box,44505,,Packs 1,Ulvenwald Mysteries
SOI,237,N,1,Box,44505,,Packs 1,Vessel of Nascency
CMR,8,F,1,Box,44646,,CMR 1,Anointer of Valor
MID,88,F,1,Box,44701,0.25,CS,Blood Pact
CMR,164,F,1,Box,44646,,CMR 1,Brazen Freebooter
CMR,302,F,1,Box,44646,,CMR 1,Burnished Hart
CMR,167,F,1,Box,44646,,CMR 1,Champion of the Flame
CMR,223,F,1,Box,44646,,CMR 1,Elvish Visionary
CMR,176,F,1,Box,44646,,CMR 1,Explosion of Riches
CMR,124,F,1,Box,44646,,CMR 1,Eyeblight Cullers
CMR,68,F,1,Box,44646,,CMR 1,Fall from Favor
CMR,227,F,2,Box,44646,,CMR 1,Fin-Clade Fugitives
CMR,309,F,1,Box,44646,,CMR 1,Fire Diamond
STX,187,F,1,Box,44505,,Packs 1,Fractal Summoning
STX,43,F,1,Box,44505,,Packs 1,Frost Trickster
STX,104,F,1,Box,44505,,Packs 1,Grinning Ignus
2X2,13,F,1,Box,44780,0.15,TCG,Hyena Umbra
CMR,238,F,1,Box,44646,,CMR 1,Kamahl's Will
IKO,18,F,1,Box,44505,,Packs 1,Keensight Mentor
CMR,29,F,1,Box,44646,,CMR 1,Kinsbaile Courier
M21,110,F,1,Box,44889,0.29,TCG,Liliana's Standard Bearer
CMR,321,F,1,Box,44646,,CMR 1,Lumengrid Gargoyle
CMR,32,F,1,Box,44646,,CMR 1,Make a Stand
CMR,323,F,1,Box,44646,,CMR 1,Marble Diamond
GRN,76,F,1,Box,44505,,Packs 1,Mephitic Vapors
CMR,194,F,1,Box,44646,,CMR 1,Portent of Betrayal
BFZ,122,F,1,Box,44505,,Packs 1,Rising Miasma
KHM,190,F,1,Box,44660,0.15,TCG,Roots of Wisdom
CMR,92,F,2,Box,44646,,CMR 1,Scholar of Stars
CMR,252,F,1,Box,44646,,CMR 1,Scrounging Bandar
RNA,218,F,1,Box,44505,,Packs 1,Scuttlegator
CMR,97,F,2,Box,44646,,CMR 1,Skaab Goliath
CMR,46,F,2,Box,44646,,CMR 1,Skywhaler's Shot
CMR,50,F,1,Box,44646,,CMR 1,Soul of Eternity
CMR,100,F,1,Box,44646,,CMR 1,Spontaneous Mutation
CMR,357,F,1,Box,44646,,CMR 1,Terramorphic Expanse
CMR,292,F,1,Box,44646,,CMR 1,Tuya Bearclaw
CMR,212,F,1,Box,44646,,CMR 1,Wild Celebrants
KTK,1,N,1,Box,44790,0.25,CS,Abzan Battle Priest
AER,105,N,1,Box,44864,0.25,TCG,Aid from the Cowl
UMA,122,N,1,Box,44493,1.79,CK,Anger
MIC,157,N,1,Box,44544,1.99,CS,Arcane Signet
CLB,298,N,1,Box,44751,0.89,TCG,Arcane Signet
C21,234,N,1,Box,44619,1.99,CK,Arcane Signet
MH2,74,N,1,Box,44493,0.25,CK,Archfiend of Sorrows
VOW,93,N,1,Box,45078,0.35,CK,Archghoul of Thraben
NCC,326,N,1,Box,44735,0.22,TCG,Artifact Mutation
40K,105,N,1,Box,45485,1.46,TCG,Atalan Jackal
CMR,12,N,1,Box,44646,,CMR 1,Austere Command
AFC,179,N,1,Box,44493,1.99,CK,Bedevil
RNA,157,N,1,Box,44544,1.99,CS,Bedevil
VOC,78,N,1,Box,45248,0.33,TCG,Benevolent Offering
CMR,162,N,1,Box,44646,,CMR 1,Blasphemous Act
C21,159,N,1,Box,44711,2.99,CS,Blasphemous Act
SNC,417,N,1,Box,44814,2.13,TCG,Body Launderer
MID,131,N,1,Box,44493,0.49,CK,Burn Down the House
BRO,174,N,1,Box,45047,0.25,CS,Bushwhack
SCD,70,N,1,Box,44922,0.43,TCG,Cemetery Reaper
DMR,299,N,1,Box,45457,0.27,TCG,"Chainer, Dementia Master"
MH2,289,N,1,Box,44533,0.49,CS,"Chainer, Nightmare Adept"
MOR,141,N,1,Box,44790,1.99,CS,Cloak and Dagger
BFZ,4,N,1,Box,44533,1.75,CS,Conduit of Ruin
CLB,168,N,1,Box,44884,0.1,TCG,Coronation of Chaos
ZNR,95,N,1,Box,44790,0.49,CS,Coveted Prize
C21,38,N,1,Box,44619,7.99,CK,Cunning Rhetoric
AKH,223,N,1,Box,44533,0.49,CS,Cut // Ribbons
A25,82,N,1,Box,44701,1.25,CS,Dark Ritual
WAR,189,N,1,Box,44544,0.39,CK,Deathsprout
SOA,63,N,1,Box,46203,,Draft SOS,Deflecting Palm
M19,91,N,1,Box,44493,0.39,CK,Demon of Catastrophes
THB,292,N,1,Box,44493,0.49,CK,Demon of Loathing
ZNR,97,N,1,Box,45078,0.49,CK,Demon's Disciple
STA,59,N,1,Box,44505,,Packs 1,Despark
MOM,185,N,1,Box,45457,0.27,TCG,Doomskar Warrior
ZNR,98,N,1,Box,45137,1.52,TCG,"Drana, the Last Bloodchief"
VOW,108,N,1,Box,44544,0.25,CK,Dreadfeast Demon
MID,97,N,1,Box,44942,0.2,TCG,Dreadhound
C15,152,N,1,Box,44533,0.99,CS,Earthquake
VIS,104,N,1,Box,44922,0.51,TCG,Elephant Grass
CLB,172,N,1,Box,45089,0.23,TCG,Elturel Survivors
M20,98,N,1,Box,44493,0.35,CK,Embodiment of Agonies
WHO,84,N,1,Box,45592,1.87,TCG,Ensnared by the Mara
CMM,868,N,1,Box,45376,0.56,TCG,"Erebos, Bleak-Hearted"
MIC,138,N,1,Box,44619,4.99,CK,Eternal Witness
SOM,61,N,1,Box,44698,7.49,TCG,Exsanguinate
BRC,84,N,1,Box,44922,0.19,TCG,Fact or Fiction
EMA,128,N,1,Box,44493,0.35,CK,Faithless Looting
C19,165,N,1,Box,44735,1.74,TCG,Farseek
SOA,29,N,1,Box,46203,,Draft SOS,Feed the Swarm
NCC,367,N,1,Box,44699,0.58,TCG,Fellwar Stone
CLB,860,N,1,Box,44780,1.22,TCG,Fellwar Stone
NCC,367,N,1,Box,44699,0.58,TCG,Fellwar Stone
NCC,367,N,1,Box,44699,0.58,TCG,Fellwar Stone
CLB,650,F,1,Box,44787,,Precon 1 Nalia,Folk Hero
CMM,740,N,1,Box,45592,1.75,TCG,For the Ancestors
M21,146,N,1,Box,45078,0.99,CK,"Gadrak, the Crown-Scourge"
BRO,182,N,1,Box,45653,0.34,TCG,Gaea's Gift
LTR,296,N,1,Box,45089,2.71,TCG,"Galadriel, Gift-Giver"
CLB,694,N,1,Box,44787,,Precon 1 Nalia,Galepowder Mage
MH1,11,N,1,Box,44619,1.99,CK,Generous Gift
THS,14,N,1,Box,44922,2.6,TCG,Gift of Immortality
FEM,58b,N,1,Box,44784,0.24,TCG,Goblin War Drums
EMN,90,N,1,Box,44864,0.25,TCG,Graf Harvest
THB,99,N,1,Box,44493,0.99,CK,Gray Merchant of Asphodel
VOW,239,N,1,Box,45485,0.97,TCG,"Halana and Alena, Partners"
THS,124,N,1,Box,44561,1.29,CK,Hammer of Purphoros
EMN,130,N,1,Box,44767,3.79,TCG,"Hanweir Garrison // Hanweir, the Writhing Township"
CLB,235,N,1,Box,45457,0.27,TCG,Hardy Outlander
ZNC,69,N,1,Box,44660,0.35,CS,Harrow
DDQ,60,N,1,Box,44493,1.19,CK,Harvester of Souls
DDK,52,N,1,Box,44493,0.35,CK,Hellrider
CLB,848,N,1,Box,44787,,Precon 1 Nalia,High Priest of Penance
JMP,402,N,1,Box,44780,0.16,TCG,Hunter's Insight
CLB,182,N,1,Box,44849,0.25,TCG,Ingenious Artillerist
RNA,185,N,1,Box,44544,0.99,CS,"Judith, the Scourge Diva"
5DN,135,N,1,Box,44922,0.99,TCG,Lantern of Insight
AFC,27,N,1,Box,45149,0.45,TCG,"Lorcan, Warlock Collector"
AKH,99,N,1,Box,44864,0.74,TCG,Lord of the Accursed
C15,162,N,1,Box,44493,0.25,CK,Magmaquake
SCD,150,N,1,Box,44988,0.49,CS,Magmatic Force
ZNR,112,N,1,Box,44814,0.2,TCG,Marauding Blight-Priest
NEO,111,N,1,Box,45653,0.21,TCG,March of Wretched Sorrow
CLB,865,N,1,Box,44787,,Precon 1 Nalia,Maskwood Nexus
WTH,153,N,1,Box,44493,1.19,CK,Mind Stone
C21,251,N,1,Box,44619,0.79,CK,Mind Stone
RNA,108,N,1,Box,44493,0.79,CK,Mirror March
SOS,91,N,1,Box,46203,,Draft SOS,"Moseo, Vein's New Dean"
CLB,702,N,1,Box,44787,,Precon 1 Nalia,Mother of Runes
ELD,287,N,1,Box,44544,3.99,CS,Murderous Rider // Swift End
M13,102,N,1,Box,44701,1.49,CS,Mutilate
CLB,649,F,1,Box,44787,,Precon 1 Nalia,Nalia de'Arnise
CMR,137,N,1,Box,44889,0.57,TCG,Necrotic Hex
2X2,83,N,1,Box,44963,1.29,CK,Necrotic Ooze
C17,217,N,1,Box,44942,0.69,TCG,Nevinyrral's Disk
NPH,17,N,1,Box,44619,6.49,CK,Norn's Annex
THB,235,N,1,Box,45293,2.4,TCG,Nyx Lotus
M15,110,N,1,Box,44533,9.99,CS,"Ob Nixilis, Unshackled"
MH2,232,N,1,Box,45078,0.69,CK,Ornithopter of Paradise
2XM,100,N,1,Box,44619,1.25,CS,Oubliette
DMR,309,N,1,Box,45078,0.79,CK,Oversold Cemetery
PLST,CN2-18,N,1,Box,44619,0.99,CK,Palace Jailer
ROE,9,N,1,Box,44533,3.99,CS,Pathrazer of Ulamog
CLB,332,N,1,Box,44963,2.79,CK,Patriar's Seal
USG,148,N,1,Box,44963,0.2,CK,Phyrexian Ghoul
AFC,107,N,1,Box,44544,0.49,CS,Plaguecrafter
CLB,768,N,1,Box,44787,,Precon 1 Nalia,Pontiff of Blight
RNA,83,N,1,Box,44544,3.99,CS,Priest of Forgotten Gods
INV,205,N,1,Box,44836,0.09,TCG,Quirion Trailblazer
C16,315,N,1,Box,44619,0.25,CK,Rakdos Carnarium
C17,190,N,1,Box,44619,1.29,CK,Rakdos Charm
RNA,199,N,1,Box,44493,2.79,CK,"Rakdos, the Showstopper"
KHM,72,N,1,Box,44942,0.21,TCG,Ravenform
C14,159,N,1,Box,44493,1.49,CK,Reaper from the Abyss
CMR,335,N,1,Box,44646,,CMR 1,Rings of Brighthearth
KHM,107,N,1,Box,44963,1.29,CK,Rise of the Dread Marn
SNC,331,N,1,Box,44660,0.1,TCG,Riveteers Charm
DTK,36,N,1,Box,44798,3.5,TCG,Secure the Wastes
CLB,707,N,1,Box,44787,,Precon 1 Nalia,Sevinne's Reclamation
STX,330,N,1,Box,44836,0.93,TCG,"Shaile, Dean of Radiance // Embrose, Dean of Shadow"
TOR,83,N,1,Box,45293,0.45,TCG,Sickening Dreams
M13,110,N,1,Box,44849,0.25,TCG,Sign in Blood
CLB,148,N,1,Box,44942,0.1,TCG,"Sivriss, Nightmare Speaker"
BRO,221,N,1,Box,45787,0.15,TCG,Skyfisher Spider
AFC,140,N,1,Box,44646,1.29,CK,Skyline Despot
KHM,194,N,1,Box,45510,0.25,TCG,Snakeskin Veil
ZNC,120,N,1,Box,44493,1.49,CK,Sol Ring
MIC,162,N,1,Box,44544,1.49,CS,Sol Ring
NEC,161,N,1,Box,44619,2.29,CK,Sol Ring
NEC,161,N,1,Box,44619,1.99,CK,Sol Ring
NCC,379,N,1,Box,44751,1.3,TCG,Sol Ring
CLB,871,N,1,Box,44787,,Precon 1 Nalia,Sol Ring
AFC,216,N,1,Box,44493,1.79,CK,Solemn Simulacrum
DMC,191,N,1,Box,44963,0.79,CK,Solemn Simulacrum
DDU,62,N,1,Box,44707,0.9,TCG,Solemn Simulacrum
PLST,DDU-62,N,1,Box,44963,0.99,CK,Solemn Simulacrum
MH2,265,N,1,Box,44619,0.35,CK,Solitary Confinement
UMA,115,N,1,Box,45078,0.69,CK,Songs of the Damned
ICE,160,N,1,Box,44814,0.54,TCG,Songs of the Damned
ONS,171,N,1,Box,45173,0.79,CK,Soulless One
GPT,18,N,1,Box,44790,1.99,CS,Spelltithe Enforcer
AER,23,N,1,Box,44765,0.2,TCG,"Sram, Senior Edificer"
MH2,293,N,1,Box,44922,1.22,TCG,Sterling Grove
STX,115,N,1,Box,44505,,Packs 1,Storm-Kiln Artist
AFC,73,N,1,Box,44922,0.75,CS,Sun Titan
XLN,165,N,1,Box,44505,,Packs 1,Sunbird's Invocation
NCC,382,N,1,Box,44699,0.93,TCG,Swiftfoot Boots
TSR,145,N,1,Box,44701,0.25,CS,Tendrils of Corruption
C15,234,N,1,Box,44619,0.35,CK,"Teysa, Envoy of Ghosts"
C19,131,N,1,Box,44493,0.49,CK,The Eldest Reborn
7ED,273,F,1,Box,44505,,Promo 1,Thorn Elemental
CMR,346,N,1,Box,44533,2.99,CS,Thought Vessel
CLB,773,N,1,Box,44787,,Precon 1 Nalia,Thwart the Grave
CMR,155,N,1,Box,44922,0.15,TCG,"Tormod, the Desecrator"
ICE,221,N,1,Box,44836,0.57,TCG,Total War
DKA,76,N,1,Box,44922,0.21,TCG,Tragic Slip
DKA,77,N,1,Box,44493,0.55,CK,Undying Evil
C17,21,N,1,Box,44988,3.99,CS,Vindictive Lich
MM2,168,N,1,Box,45510,0.8,TCG,Vines of Vastwood
MOM,171,N,1,Box,45470,0.74,TCG,Voldaren Thrillseeker
AFC,149,N,1,Box,44533,0.49,CS,Warstorm Surge
2X2,293,N,1,Box,45078,0.59,CK,"Wasitora, Nekoru Queen"
CMA,165,N,1,Box,44828,1.02,TCG,Wave of Vitriol
DGM,135,N,1,Box,44680,2.49,CS,Wear // Tear
GTC,207,N,1,Box,44922,0.82,TCG,Whispering Madness
AKH,76,N,1,Box,44922,0.19,TCG,Winds of Rebuke
C15,212,N,1,Box,44780,0.67,TCG,Wood Elves
CNS,183,N,1,Box,44765,1.08,TCG,Wrap in Vigor
TOR,89,N,1,Box,45418,0.62,TCG,Zombie Trailblazer
CLB,775,N,1,Box,44787,,Precon 1 Nalia,Zulaport Cutthroat
CLB,298,N,1,Box,44787,,Precon 1 Nalia,Arcane Signet
CLB,114,N,1,Box,45088,0.24,TCG,Astarion's Thirst
JMP,95,N,1,Box,44790,4.97,TCG,Cathars' Crusade
C16,246,N,1,Box,44544,2.99,CS,Cauldron of Souls
CLB,695,N,1,Box,44787,,Precon 1 Nalia,Glorious Protector
CLB,867,N,1,Box,44787,,Precon 1 Nalia,Orzhov Signet
GPT,63,N,1,Box,45047,0.25,CS,Smogsteed Rider
ZNR,346,N,1,Box,44533,0.49,CS,"Taborax, Hope's Demise"
CLB,878,N,1,Box,44787,,Precon 1 Nalia,Talisman of Hierarchy
BRO,260,N,1,Box,44903,0.55,TCG,Demolition Field
C16,27,N,1,Box,44963,0.79,CK,Ancient Excavation
NCC,360,N,1,Box,44701,1,TCG,Arcane Signet
ELD,83,N,1,Box,45137,0.09,TCG,Cauldron's Gift
LCI,103,N,1,Box,45293,0.25,TCG,Defossilize
NCC,365,N,1,Box,44963,0.99,CK,Dimir Signet
MKC,242,N,1,Box,45628,1.04,TCG,Talisman of Dominance
LTR,199,N,1,Box,45089,2.32,TCG,Doors of Durin
AVR,176,N,1,Box,44770,2.49,CS,Druids' Repository
KTK,149,N,1,Box,45137,0.75,TCG,See the Unwritten
NEM,117,N,1,Box,44849,2.49,CS,Skyshroud Claim
AFC,174,N,1,Box,44903,0.6,TCG,Wild Growth
MH3,405,N,1,"Gisa, Zombie Gardener",45457,0.32,TCG,Accursed Marauder
BRR,66,N,1,"Gisa, Zombie Gardener",44988,5.94,CS,Altar of Dementia
INR,370,N,1,"Gisa, Zombie Gardener",45727,0.45,TCG,Archghoul of Thraben
BRR,67,N,1,"Gisa, Zombie Gardener",44895,6.49,TCG,Ashnod's Altar
ELD,75,N,1,"Gisa, Zombie Gardener",45078,2.79,CK,"Ayara, First of Locthwain"
MH3,243,N,1,"Gisa, Zombie Gardener",45457,0.65,TCG,Boggart Trawler // Boggart Bog
C17,238,N,1,"Gisa, Zombie Gardener",44544,1.99,CS,Bojuka Bog
DMC,179,N,1,"Gisa, Zombie Gardener",45078,5.49,CK,Bontu's Monument
DOM,238,N,1,"Gisa, Zombie Gardener",44698,3.87,TCG,Cabal Stronghold
SCG,59,N,1,"Gisa, Zombie Gardener",45078,1.79,CK,Carrion Feeder
CLB,884,N,1,"Gisa, Zombie Gardener",45078,3.99,CK,Castle Locthwain
CLB,744,N,1,"Gisa, Zombie Gardener",44787,,Precon 1 Nalia,Corpse Augur
ELD,217,N,1,"Gisa, Zombie Gardener",44889,0.29,TCG,Crashing Drawbridge
PW24,17,N,1,"Gisa, Zombie Gardener",46040,0.3,TCG,Crippling Fear
MIC,17,N,1,"Gisa, Zombie Gardener",44988,1.49,CS,Crowded Crypt
TDC,354,N,1,"Gisa, Zombie Gardener",46040,1.05,TCG,Crypt of Agadeem
EMN,86,N,1,"Gisa, Zombie Gardener",45137,4.03,TCG,Cryptbreaker
M19,90,N,1,"Gisa, Zombie Gardener",44922,1,TCG,Death Baron
JOU,65,N,1,"Gisa, Zombie Gardener",44544,15.99,CK,Dictate of Erebos
SOI,107,N,1,"Gisa, Zombie Gardener",44922,1.75,TCG,Diregraf Colossus
BRC,106,N,1,"Gisa, Zombie Gardener",45470,0.89,TCG,Feed the Swarm
VOW,112,N,1,"Gisa, Zombie Gardener",44864,0.27,TCG,Fell Stinger
CMR,128,N,1,"Gisa, Zombie Gardener",44646,,CMR 1,Fleshbag Marauder
LGN,70,N,1,"Gisa, Zombie Gardener",45047,0.35,CS,Gempalm Polluter
DKA,63,N,1,"Gisa, Zombie Gardener",45293,1.41,TCG,Geralf's Messenger
CC2,2,N,1,"Gisa, Zombie Gardener",44922,2.15,TCG,Ghoulcaller Gisa
WAR,92,N,1,"Gisa, Zombie Gardener",44544,6.99,CS,God-Eternal Bontu
LGN,73,N,1,"Gisa, Zombie Gardener",44963,1.95,CK,Graveborn Muse
DKA,64,N,1,"Gisa, Zombie Gardener",45078,3.99,CK,Gravecrawler
THS,89,N,1,"Gisa, Zombie Gardener",44963,0.79,CK,Gray Merchant of Asphodel
MH3,409,N,1,"Gisa, Zombie Gardener",45470,0.24,TCG,Grim Servant
ZNR,106,N,1,"Gisa, Zombie Gardener",44856,1.44,TCG,Hagra Mauling // Hagra Broodpit
VOW,118,N,1,"Gisa, Zombie Gardener",44988,1.99,CS,Headless Rider
LCC,303,N,1,"Gisa, Zombie Gardener",45709,0.25,TCG,Heirloom Blade
TMP,291,N,1,"Gisa, Zombie Gardener",45078,4.39,CK,Helm of Possession
SCD,267,N,1,"Gisa, Zombie Gardener",44922,1.19,TCG,Heraldic Banner
CLB,862,N,1,"Gisa, Zombie Gardener",45196,3.29,TCG,Herald's Horn
C21,41,N,1,"Gisa, Zombie Gardener",44963,2.99,CK,Incarnation Technique
C14,245,N,1,"Gisa, Zombie Gardener",44864,0.62,TCG,Lashwrithe
NCC,36,N,1,"Gisa, Zombie Gardener",44922,1.06,TCG,Lethal Scheme
CM2,68,N,1,"Gisa, Zombie Gardener",44963,4.57,TCG,Living Death
DRC,27,N,1,"Gisa, Zombie Gardener",45709,1.4,TCG,Lost Monarch of Ifnir
ZNR,111,N,1,"Gisa, Zombie Gardener",45429,3.63,TCG,Malakir Rebirth // Malakir Mire
GRN,75,N,1,"Gisa, Zombie Gardener",45727,0.96,TCG,Mausoleum Secrets
SCD,91,N,1,"Gisa, Zombie Gardener",44922,0.49,TCG,Midnight Reaper
DKA,70,N,1,"Gisa, Zombie Gardener",45510,7.86,TCG,"Mikaeus, the Unhallowed"
VOC,133,N,1,"Gisa, Zombie Gardener",44533,0.99,CS,Night's Whisper
2X2,309,N,1,"Gisa, Zombie Gardener",45293,2.61,TCG,Nim Deathmantle
LGN,77,N,1,"Gisa, Zombie Gardener",45429,3.21,TCG,Noxious Ghoul
MH2,275,N,1,"Gisa, Zombie Gardener",45220,2.81,TCG,Patriarch's Bidding
CLB,332,N,11,"Gisa, Zombie Gardener",44963,2.79,CK,Patriar's Seal
MOM,122,N,1,"Gisa, Zombie Gardener",45293,0.6,TCG,Pile On
AKH,104,N,1,"Gisa, Zombie Gardener",45078,4.49,CK,Plague Belcher
STX,81,N,1,"Gisa, Zombie Gardener",44505,,Packs 1,Plumb the Forbidden
MIC,22,N,1,"Gisa, Zombie Gardener",44864,0.24,TCG,Ravenous Rotbelly
ALL,59,N,1,"Gisa, Zombie Gardener",45293,2.79,TCG,Ritual of the Machine
ONS,168,N,1,"Gisa, Zombie Gardener",45418,0.6,TCG,Shepherd of Rot
DTK,120,N,1,"Gisa, Zombie Gardener",45727,5.37,TCG,"Sidisi, Undead Vizier"
SOM,78,N,1,"Gisa, Zombie Gardener",45714,0.14,TCG,Skinrender
MH3,230,N,1,"Gisa, Zombie Gardener",45457,1.4,TCG,Spymaster's Vault
J22,472,N,1,"Gisa, Zombie Gardener",44922,1.92,TCG,Stitcher's Supplier
MIR,149,N,1,"Gisa, Zombie Gardener",45137,5.97,TCG,Tombstone Stairwell
BRO,125,N,1,"Gisa, Zombie Gardener",45078,0.49,CK,Transmogrant's Crown
MH1,112,N,1,"Gisa, Zombie Gardener",44864,0.23,TCG,Undead Augur
J25,500,N,1,"Gisa, Zombie Gardener",45714,0.16,TCG,Undead Butler
SCG,80,N,1,"Gisa, Zombie Gardener",44889,0.74,TCG,Vengeful Dead
CMR,157,N,1,"Gisa, Zombie Gardener",44646,,CMR 1,Victimize
SLD,235,N,1,"Gisa, Zombie Gardener",44988,3.99,CS,Vindictive Lich
GN3,3,F,1,"Gisa, Zombie Gardener",45319,2.5,TCG,"Vogar, Necropolis Tyrant"
NCC,384,N,1,"Gisa, Zombie Gardener",44797,0.99,CS,Wayfarer's Bauble
ELD,249,N,1,"Gisa, Zombie Gardener",45047,0.49,TCG,Witch's Cottage
MB2,188,N,1,"Gisa, Zombie Gardener",46195,0.37,Mana Pool,Zombie Master
2X2,318,N,1,Lands,44765,0.18,TCG,Azorius Chancery
40K,266,N,1,Lands,44922,0.15,TCG,Barren Moor
C18,235,N,1,Lands,44963,0.29,CK,Barren Moor
ZNC,122,N,1,Lands,44619,0.25,CK,Boros Garrison
AFC,228,N,1,Lands,44922,0.19,TCG,Choked Estuary
C21,284,N,1,Lands,44493,0.35,CK,Command Tower
AFC,230,N,1,Lands,44544,0.49,CS,Command Tower
